S.No,Location,Y,X,Source,Qtr 1,Qtr 2,Qtr 3,Qtr 4,Qtr 1,Qtr 2,Qtr 3,Qtr 4,Qtr 1,Qtr 2,Qtr 3,Qtr 4
RSM-04,Palugaswewa,8.065916667,80.70805,TW,1.9,2.5,1.48,1.16,2.65,2.2,1.84,0.94,2.65,2.2,1.84,0.94
RSM-05,Mahakumbukgollewa,8.628033333,80.48326667,TW,1.81,2.18,2.42,1.5,3.2,3.15,2.12,0.95,3.2,3.15,2.12,0.95
RSM-06,Korakahawewa,8.318466667,80.34266667,TW,1.24,2.19,3.75,2.34,7.12,6.21,5.34,4.15,7.12,6.21,5.34,4.15
RSM-07,Galkadawala,8.430933333,80.36141667,TW,6.3,6.8,8.66,6.41,7.05,6.26,5.12,4.15,7.05,6.26,5.12,4.15
RSM-17,Medawachchiya,8.550883333,80.48726667,TW,4.94,6.4,6.51,4.63,6.34,7.42,5.54,2.85,6.34,7.42,5.54,2.85
RSM-18,Ranpathwila,8.40085,80.64051667,TW,2.22,2.61,3.94,3.56,3.21,2.87,2.31,1.83,3.21,2.87,2.31,1.83
RSM-24,Kuttikulama,8.2546,80.60558333,TW,2.1,3.08,3.51,1.42,2,1.54,0.94,0.47,2,1.54,0.94,0.47
RSM-28,Aslliatan,8.199333333,80.52183333,TW,2.65,3.5,4.62,3.95,2.6,1.65,1.2,0.85,2.6,1.65,1.2,0.85
RSM-30,Bulankulama,8.160933333,80.51915,TW,3.3,2.8,3.86,2.76,3.58,3.2,2.54,0.5,3.58,3.2,2.54,0.5
RSM-41,"Chathurika Sriyani,Nekatunuwewa,Seeppukulama.",8.3555,80.63881667,TW,3.2,3.45,3.64,2.15,3.25,3.8,2.54,1.13,3.25,3.8,2.54,1.13
RSM-44,"S.P.Munasinghe,Ihala Ambathale.",8.152166667,80.62228333,DW,2,1.05,1.85,0.05,2.5,2.1,1.54,0.21,2.5,2.1,1.54,0.21
